codigo,valor_atual,min_52_semanas,max_52_semanas,valorizacao_12m,liquidez_media_diaria,dy,p/l,peg_ratio,p/vp,ev/ebitda,ev/ebit,p/ebitda,p/ebit,vpa,p/ativo,lpa,p/sr,p/cap_giro,p/ativo_circ_liq,div_liquida/pl,div_liquida/ebitda,div_liquida/ebit,pl/ativos,passivos/ativos,liq_corrente,m_bruta,m_ebitda,m_ebit,m_liquida,roe,roa,roic,giro_ativos,cagr_receitas_5_anos,cagr_lucros_5_anos,patrimonio_liquido,ativos,ativo_circulante,divida_bruta,disponibilidade,divida_liquida,valor_de_mercado,valor_de_firma,segmento_de_listagem,free_float,setor_de_atuacao,subsetor_de_atuacao,segmento_de_atuacao
AALR3,16.05,8.63,18.65,0.396,8833574.3,0.0,49.39,-0.36,1.57,9.61,17.83,7.16,13.28,10.19,0.73,0.32,1.64,-42.19,-0.93,0.51,2.32,4.3,0.46,0.52,0.93,0.314,0.229,0.123,0.033,0.032,0.015,0.061,0.45,0.058,0.0,1205650000.0,2604542000.0,566594000.0,767534000.0,152402000.0,615132000.0,1935270470.0,2550402470.0,Novo Mercado,0.458,Saúde,ServMédHospitAnálises e Diagnósticos,ServMédHospitAnálises e Diagnósticos
ABCB4,16.27,13.51,17.72,0.078,13997204.43,0.056,7.1,0.13,0.81,0.0,4.33,0.0,4.32,20.15,0.07,2.29,1.68,0.98,-0.08,0.0,0.0,0.0,0.09,0.91,2.68,0.459,0.0,0.388,0.236,0.114,0.01,0.0,0.04,0.012,0.059,4554960000.0,49883068000.0,5989585000.0,0.0,5989585000.0,0.0,3680747121.0,3680747121.0,Nível 2,0.302,Financeiro e Outros,Intermediários Financeiros,Bancos
ABEV3,14.81,13.21,18.8,-0.015,328300707.57,0.041,14.71,0.18,2.69,8.8,11.21,9.48,12.08,5.51,1.73,1.01,3.36,32.89,-2.41,-0.2,-0.69,-0.88,0.64,0.35,1.23,0.519,0.354,0.278,0.228,0.183,0.117,0.191,0.51,0.046,0.05,86771210000.0,135133255000.0,38197082000.0,3027713000.0,20000745000.0,-16973032000.0,233332781145.0,216359749145.0,,0.277,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
ADHM3,1.56,0.0,0.0,0.0,0.0,0.0,-4.09,-0.58,-1.29,0.0,-5.69,0.0,-5.69,-1.21,105.12,-0.38,770.9,-1.43,-116.16,0.0,0.0,0.0,-81.72,82.72,0.0,1.0,0.0,-135.485,-188.606,-0.315,-25.719,0.226,0.14,0.0,0.0,-19776000.0,242000.0,23000.0,0.0,0.0,0.0,25439770.0,25439770.0,,0.0,Saúde,ServMédHospitAnálises e Diagnósticos,ServMédHospitAnálises e Diagnósticos
AFLT3,9.06,8.05,10.64,0.016,7472.24,0.07,29.02,-2.64,3.2,0.0,26.61,0.0,27.53,2.83,2.91,0.31,14.7,12.94,-3.88,-0.11,0.0,-0.92,0.91,0.09,9.63,0.674,0.0,0.534,0.507,0.11,0.1,0.107,0.2,0.056,0.093,178674000.0,196426000.0,49277000.0,587000.0,19758000.0,-19171000.0,571547382.0,552376382.0,,0.014,Utilidade Pública,Energia Elétrica,Energia Elétrica
AGRO3,28.67,19.75,32.84,0.264,16032102.87,0.091,6.9,0.03,1.34,0.0,13.77,0.0,14.7,21.32,0.86,4.16,3.17,2.67,-1.76,-0.09,0.0,-0.99,0.64,0.36,2.66,0.273,0.0,0.216,0.46,0.195,0.124,0.058,0.27,0.553,1.215,2182601000.0,3428318000.0,1761206000.0,862176000.0,1059107000.0,-196931000.0,2945386520.0,2748455520.0,Novo Mercado,0.506,Consumo não Cíclico,Agropecuária,Agricultura
AHEB3,27.5,20.0,28.9,0.375,4125.0,0.0,-3.88,-0.01,-4.89,-7.82,-6.22,-7.94,-6.31,-5.63,0.83,-7.08,1.23,-3.36,-1.07,0.0,0.22,0.18,-0.17,1.17,0.47,0.226,-0.155,-0.195,-0.317,-1.26,-0.215,0.775,0.68,0.019,0.0,-48063000.0,281956000.0,62756000.0,0.0,6652000.0,-6652000.0,238221493.0,231569493.0,,0.033,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
AHEB5,22.0,18.0,25.5,-0.137,2348.5,0.0,-3.11,-0.01,-3.91,-7.82,-6.22,-6.35,-5.05,-5.63,0.67,-7.08,0.98,-2.69,-0.86,0.0,0.22,0.18,-0.17,1.17,0.47,0.226,-0.155,-0.195,-0.317,-1.26,-0.215,0.775,0.68,0.019,0.0,-48063000.0,281956000.0,62756000.0,0.0,6652000.0,-6652000.0,238221493.0,231569493.0,,0.033,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
ALPA3,24.27,24.26,52.13,-0.314,85677.74,0.016,31.75,0.27,4.28,22.19,23.52,21.84,23.15,5.67,2.67,0.76,3.52,8.94,-6.13,-0.2,-1.02,-1.08,0.62,0.36,2.13,0.534,0.161,0.152,0.111,0.135,0.084,0.147,0.76,-0.036,0.105,3335248000.0,5337624000.0,3010843000.0,248435000.0,914682000.0,-666247000.0,15167488233.0,14501241233.0,Nível 1,0.305,Consumo Cíclico,Tecidos Vestuário e Calçados,Calçados
ALPA4,26.37,26.37,60.59,-0.344,103989893.39,0.017,34.5,0.29,4.65,22.19,23.52,23.73,25.15,5.67,2.91,0.76,3.83,9.71,-6.66,-0.2,-1.02,-1.08,0.62,0.36,2.13,0.534,0.161,0.152,0.111,0.135,0.084,0.147,0.76,-0.036,0.105,3335248000.0,5337624000.0,3010843000.0,248435000.0,914682000.0,-666247000.0,15167488233.0,14501241233.0,Nível 1,0.305,Consumo Cíclico,Tecidos Vestuário e Calçados,Calçados
